CatalogName,Assoc_name,RA,Dec,RedShift,SpectrumType,TS,Catalog_Pl_index,PL_index,Prefactor,Scale,Norm,Catalog_alpha,Alpha,Catalog_beta,Beta,Eb,Catalog_flux,flux,Catalog_fluxErr,flux_err,Class
4FGL J1114.5-0819,PKS B1112-080,168.64,-8.32,2.078,PowerLaw,217.89,2.824,2.758,5.13397141942733E-12,428.089,0,2.7827,0,0.143,0,0,2.5698E-10,2.8159784841098E-10,3.6891E-11,3.68963124892775E-11,fsrq
4FGL J2108.5+1434,OX 110,317.14,14.58,2.017,PowerLaw,180.09,2.765,2.709,4.60405851998055E-12,451.954,0,2.6969,0,0.1728,0,0,3.0729E-10,3.13415121534186E-10,4.3076E-11,4.07159913842446E-11,fsrq
4FGL J1119.0+1235,OM 127,169.76,12.58,2.125651,LogParabola,319.3,2.586,2.51,2.41725530445741E-14,3659.72,3.72217602243049E-12,2.4052,2.175,0.2294,0.333,537.596,4.0896E-10,4.47503543633167E-10,4.415E-11,4.14213679447906E-11,fsrq
4FGL J1045.8-2928,PKS B1043-291,161.46,-29.47,2.128,PowerLaw,185.4,2.544,2.57,1.04109329511783E-12,757.754,0,2.4986,0,0.0862,0,0,3.3747E-10,3.25144781964186E-10,4.1563E-11,3.81171514329529E-11,fsrq
4FGL J0245.4+2408,B2 0242+23,41.350000000000001,24.140000000000001,2.2430000000000003,PowerLaw,227.03,2.676,2.691,3.1201766838866386e-12,550.78,0.0,2.6476000000000002,0.0,0.082000000000000003,0.0,0.0,3.8102999999999998e-10,3.710251480758218e-10,4.6078000000000006e-11,4.303385186082835e-11,fsrq
4FGL J0217.4+7352,S5 0212+73,34.350000000000001,73.879999999999995,2.367,PowerLaw,451.15,2.94,2.907,1.5252893928145579e-11,364.13,0.0,2.8761999999999999,0.0,0.1048,0.0,0.0,4.7242999999999999e-10,4.2489620857416564e-10,5.2038999999999993e-11,4.690578860797217e-11,fsrq
4FGL J2318.2+1915,TXS 2315+189,349.55000000000001,19.25,2.1630000000000003,PowerLaw,224.15,2.667,2.677,2.1875114451370656e-12,604.315,0.0,2.661,0.0,0.0070000000000000001,0.0,0.0,3.7525000000000002e-10,3.390912056227625e-10,4.6483000000000004e-11,4.19529193299572e-11,bcu
4FGL J0231.8+1322,4C +13.14,37.960000000000001,13.359999999999999,2.0649999999999999,PowerLaw,371.8,2.678,2.661,3.9734152161631293e-12,550.973,0.0,2.6593,0.0,0.052400000000000002,0.0,0.0,5.7612999999999995e-10,4.897859696048378e-10,5.1777999999999997e-11,4.566681385285249e-11,fsrq
4FGL J0231.8+1322,4C +13.14,37.960000000000001,13.359999999999999,2.0649999999999999,PowerLaw,371.8,2.678,2.661,3.9734152161631293e-12,550.973,0.0,2.6593,0.0,0.052400000000000002,0.0,0.0,5.7612999999999995e-10,4.897859696048378e-10,5.1777999999999997e-11,4.566681385285249e-11,fsrq
4FGL J1722.6+6104,GB6 J1722+6105,260.66000000000003,61.07,2.0580000000000003,PowerLaw,130.42,2.844,2.837,1.5579318810486301e-12,532.596,0.0,2.8252000000000002,0.0,0.086800000000000002,0.0,0.0,1.7184000000000002e-10,1.4216559485288113e-10,2.5810999999999998e-11,2.603898574970601e-11,fsrq
